Question,options,Correct Answer,Difficulty,Category
Can a lambda function have multiple expressions?,"""filter(lambda x: x > 0,iterable),No,it can have only one expression.,lambda arguments: expression,Yes,functions can return lambda expressions.""","No, it can have only one expression.",2,Python
What is an infinite loop?,"""A loop that never ends unless externally interrupted.,Checks another condition if the previous 'if' was false.,It runs as long as a condition is true.,Skips the current iteration and moves to the next one.""",A loop that never ends unless externally interrupted.,3,Python
What is a recursive function?,"""A function that calls itself.,A variable listed inside the parentheses in the function definition.,By writing the function name followed by parentheses.,Using the 'def' keyword.""",A function that calls itself.,3,Python
Can you return a lambda function from another function?,"""Lambda is anonymous and can only contain a single expression.,By using assignment,e.g.,f = lambda x: x + 1,An anonymous function defined with the lambda keyword.,Yes,functions can return lambda expressions.""","Yes, functions can return lambda expressions.",3,Python
How do you use a lambda function with filter()?,"""Yes,functions can return lambda expressions.,filter(lambda x: x > 0,iterable),No,it can have only one expression.,lambda arguments: expression""","filter(lambda x: x > 0, iterable)",2,Python
What is an object in Python?,"""The ability to use a common interface for different data types.,Hiding internal object details and showing only necessary parts.,An instance of a class.,Redefining a method in a subclass that exists in the parent class.""",An instance of a class.,1,Python
How do you import only specific functions from a module?,"""A collection of modules and packages included with Python.,Using from module import function.,Using the import statement.,They help organize code and avoid naming conflicts.""",Using from module import function.,2,Python
What does the len() function do?,"""Returns a new sorted list from the items of any iterable.,Returns the number of items in an object.,Takes input from the user as a string.,Using the max() function.""",Returns the number of items in an object.,1,Python
What is the benefit of using packages?,"""A directory containing an init.py file and modules.,Using import module as alias.,They help organize code and avoid naming conflicts.,Using the import statement.""",They help organize code and avoid naming conflicts.,3,Python
What does the 'global' keyword do?,"""The region of a program where a variable is accessible.,It contains built-in functions and exceptions available everywhere.,It declares that a variable inside a function is global.,By declaring it with the 'global' keyword.""",It declares that a variable inside a function is global.,2,Python
What is a function in Python?,"""A function that calls itself.,A block of code that performs a specific task and can be reused.,A parameter that assumes a default value if not provided.,Using the 'def' keyword.""",A block of code that performs a specific task and can be reused.,1,Python
